sensor:model,sensor:package,sensor:capability,sensor:units
TGS2442,InsertSensorPackageName,CO Gas,response indicator
Timestamp,geo:lat,geo:long,Value
2015-04-27T10:38:40.452-0700,-122.3157483,47.6555523,15.84
2015-04-27T10:38:41.508-0700,-122.31573518,47.65554546,15.93
2015-04-27T10:38:42.513-0700,-122.31571962,47.65555356,16.03
2015-04-27T10:38:43.529-0700,-122.31571964,47.65555397,16.03
2015-04-27T10:38:44.544-0700,-122.31571466,47.65555361,16.03
2015-04-27T10:38:45.584-0700,-122.31571472,47.65554713,15.84
2015-04-27T10:38:46.625-0700,-122.31571719,47.65554451,15.84
2015-04-27T10:38:47.702-0700,-122.31571703,47.65554513,16.03
2015-04-27T10:38:48.706-0700,-122.31571937,47.65554262,15.84
2015-04-27T10:38:49.708-0700,-122.31572035,47.65554143,15.84
2015-04-27T10:38:50.744-0700,-122.31572035,47.65554143,15.84
2015-04-27T10:38:51.766-0700,-122.31571973,47.65554333,15.93
2015-04-27T10:38:52.808-0700,-122.31571916,47.65554474,15.93
2015-04-27T10:38:53.819-0700,-122.31571917,47.65554475,15.93
2015-04-27T10:38:54.859-0700,-122.31571912,47.65554482,15.93
2015-04-27T10:38:55.883-0700,-122.31571912,47.65554486,15.93
2015-04-27T10:38:56.918-0700,-122.31571918,47.65554493,15.93
2015-04-27T10:38:57.972-0700,-122.31571928,47.65554501,15.74
2015-04-27T10:38:59.030-0700,-122.31571927,47.65554503,15.93
2015-04-27T10:39:00.072-0700,-122.31571942,47.6555452,15.93
2015-04-27T10:39:01.049-0700,-122.31572019,47.6555443,15.84
2015-04-27T10:39:02.086-0700,-122.31572282,47.65554535,15.93
2015-04-27T10:39:03.118-0700,-122.31574853,47.65555689,15.93
2015-04-27T10:39:04.137-0700,-122.31575031,47.65557875,15.84
2015-04-27T10:39:05.187-0700,-122.31576272,47.6555796,15.93
2015-04-27T10:39:06.219-0700,-122.31577556,47.65559245,15.93
2015-04-27T10:39:07.288-0700,-122.31577574,47.65559689,15.93
2015-04-27T10:39:08.277-0700,-122.31579354,47.6556162,15.93
2015-04-27T10:39:09.305-0700,-122.31581089,47.65564078,15.84
2015-04-27T10:39:10.348-0700,-122.31580348,47.65567027,15.93
2015-04-27T10:39:11.344-0700,-122.31572674,47.65573219,15.93
2015-04-27T10:39:12.403-0700,-122.31566875,47.65578508,15.84
2015-04-27T10:39:13.436-0700,-122.31560711,47.65586588,15.93
2015-04-27T10:39:14.436-0700,-122.31559535,47.65592647,15.93
2015-04-27T10:39:15.510-0700,-122.31558518,47.65595032,15.93
2015-04-27T10:39:16.497-0700,-122.31557537,47.65597238,15.93
2015-04-27T10:39:17.548-0700,-122.31554743,47.65600438,15.93
2015-04-27T10:39:18.607-0700,-122.31554819,47.65602059,15.84
2015-04-27T10:39:19.620-0700,-122.31552173,47.65604285,15.93
2015-04-27T10:39:20.626-0700,-122.31549888,47.65605969,15.84
2015-04-27T10:39:21.663-0700,-122.31549083,47.65605662,15.93
2015-04-27T10:39:22.682-0700,-122.31550649,47.65607272,15.93
2015-04-27T10:39:23.702-0700,-122.31550743,47.65608282,15.93
2015-04-27T10:39:24.742-0700,-122.31552238,47.65609057,15.84
2015-04-27T10:39:25.790-0700,-122.31552238,47.65609057,15.93
2015-04-27T10:39:26.832-0700,-122.31552238,47.65609057,15.93
2015-04-27T10:39:27.830-0700,-122.31552301,47.6561264,15.84
2015-04-27T10:39:28.882-0700,-122.31554701,47.65613851,15.93
2015-04-27T10:39:29.910-0700,-122.31554701,47.65613851,16.03
2015-04-27T10:39:30.931-0700,-122.31553616,47.65615893,15.93
2015-04-27T10:39:31.948-0700,-122.31553811,47.65617628,15.84
2015-04-27T10:39:32.989-0700,-122.3155379,47.65618022,15.93
2015-04-27T10:39:34.013-0700,-122.31553897,47.65618248,15.84
2015-04-27T10:39:35.046-0700,-122.31554132,47.65618282,15.93
2015-04-27T10:39:36.095-0700,-122.31554511,47.65617964,15.93
2015-04-27T10:39:37.111-0700,-122.3155421,47.65617886,15.93
2015-04-27T10:39:38.148-0700,-122.31554306,47.65617683,15.93
2015-04-27T10:39:39.186-0700,-122.31554145,47.65617842,15.93
2015-04-27T10:39:40.199-0700,-122.31554006,47.65618135,16.03
2015-04-27T10:39:41.244-0700,-122.31553897,47.6561846,15.93
2015-04-27T10:39:42.273-0700,-122.31553872,47.65618566,15.93
2015-04-27T10:39:43.317-0700,-122.31554183,47.65619869,15.93
2015-04-27T10:39:44.336-0700,-122.3155173,47.65624504,15.93
2015-04-27T10:39:45.350-0700,-122.31551074,47.65626677,15.93
2015-04-27T10:39:46.408-0700,-122.3155076,47.65628985,15.84
2015-04-27T10:39:47.463-0700,-122.3154962,47.6563109,15.93
2015-04-27T10:39:48.464-0700,-122.31548883,47.65632306,16.03
2015-04-27T10:39:49.511-0700,-122.31549209,47.65633192,15.93
2015-04-27T10:39:50.548-0700,-122.31549404,47.65634458,15.93
2015-04-27T10:39:51.554-0700,-122.31549287,47.65635804,15.93
2015-04-27T10:39:52.601-0700,-122.31548859,47.65637092,15.93
2015-04-27T10:39:53.584-0700,-122.31548538,47.65638927,15.93
2015-04-27T10:39:54.627-0700,-122.31548949,47.65640098,15.84
2015-04-27T10:39:55.665-0700,-122.31548549,47.65641058,15.84
2015-04-27T10:39:56.683-0700,-122.31548781,47.65641959,16.03
2015-04-27T10:39:57.736-0700,-122.31549294,47.65644449,16.03
2015-04-27T10:39:58.759-0700,-122.31549294,47.65644449,15.93
2015-04-27T10:39:59.785-0700,-122.31549459,47.65648341,15.84
2015-04-27T10:40:00.814-0700,-122.31548156,47.6565029,16.03
