sensor:model,sensor:package,sensor:capability,sensor:units
TGS2442,InsertSensorPackageName,CO Gas,response indicator
Timestamp,geo:lat,geo:long,Value
2015-04-25T14:40:03.319-0700,-122.31561377,47.65533179,15.84
2015-04-25T14:40:04.362-0700,-122.31561385,47.65533158,15.74
2015-04-25T14:40:05.563-0700,-122.3156139,47.65533145,15.93
2015-04-25T14:40:06.216-0700,-122.31561401,47.65533087,15.93
2015-04-25T14:40:07.479-0700,-122.31561431,47.65532945,15.93
2015-04-25T14:40:08.534-0700,-122.31561451,47.65532832,16.03
2015-04-25T14:40:09.514-0700,-122.31561418,47.65532878,16.13
2015-04-25T14:40:10.560-0700,-122.31562123,47.65535684,16.13
2015-04-25T14:40:11.549-0700,-122.31561925,47.65535941,16.03
2015-04-25T14:40:12.584-0700,-122.31563269,47.65537829,16.03
2015-04-25T14:40:13.644-0700,-122.31564786,47.65539446,16.03
2015-04-25T14:40:14.646-0700,-122.31566679,47.65543211,16.23
2015-04-25T14:40:15.703-0700,-122.315666,47.65545725,16.03
2015-04-25T14:40:16.742-0700,-122.31569128,47.65550191,15.93
2015-04-25T14:40:17.741-0700,-122.31571537,47.65554393,15.93
2015-04-25T14:40:18.790-0700,-122.315754,47.65556894,16.13
2015-04-25T14:40:19.844-0700,-122.31577184,47.6556056,16.13
2015-04-25T14:40:20.840-0700,-122.31578236,47.65563098,16.23
2015-04-25T14:40:21.873-0700,-122.31578821,47.65564133,16.23
2015-04-25T14:40:22.924-0700,-122.3158144,47.65566903,16.23
2015-04-25T14:40:24.347-0700,-122.3158566,47.65572702,16.03
2015-04-25T14:40:24.732-0700,-122.3158566,47.65572702,16.13
2015-04-25T14:40:25.984-0700,-122.31586771,47.65575708,16.23
2015-04-25T14:40:27.006-0700,-122.31587576,47.65579309,16.13
2015-04-25T14:40:28.027-0700,-122.31587623,47.65580602,16.13
2015-04-25T14:40:29.070-0700,-122.31587453,47.65581446,16.23
2015-04-25T14:40:30.106-0700,-122.31588341,47.65583798,16.03
2015-04-25T14:40:31.156-0700,-122.31587425,47.65584161,16.13
2015-04-25T14:40:32.172-0700,-122.3158773,47.65585302,16.03
2015-04-25T14:40:33.195-0700,-122.31588924,47.65585344,16.13
2015-04-25T14:40:34.240-0700,-122.31587141,47.65586443,16.23
2015-04-25T14:40:35.266-0700,-122.31585627,47.65589956,16.23
2015-04-25T14:40:36.315-0700,-122.31589544,47.65593213,16.23
2015-04-25T14:40:37.358-0700,-122.31589878,47.65593232,16.03
2015-04-25T14:40:38.369-0700,-122.31591059,47.65594296,16.13
2015-04-25T14:40:39.424-0700,-122.31591296,47.65595597,16.23
2015-04-25T14:40:40.390-0700,-122.31594367,47.65596996,16.13
2015-04-25T14:40:41.422-0700,-122.31592946,47.6559604,16.13
2015-04-25T14:40:42.463-0700,-122.31592946,47.6559604,16.03
2015-04-25T14:40:43.488-0700,-122.31592946,47.6559604,16.03
2015-04-25T14:40:44.524-0700,-122.31592659,47.65595372,16.23
2015-04-25T14:40:45.531-0700,-122.31592659,47.65595372,16.23
2015-04-25T14:40:46.570-0700,-122.31592659,47.65595372,16.23
2015-04-25T14:40:47.652-0700,-122.31592659,47.65595372,16.13
2015-04-25T14:40:48.719-0700,-122.31592659,47.65595372,16.23
2015-04-25T14:40:49.664-0700,-122.31592659,47.65595372,16.13
2015-04-25T14:40:50.701-0700,-122.31592659,47.65595372,16.03
2015-04-25T14:40:51.810-0700,-122.31592659,47.65595372,16.32
2015-04-25T14:40:52.772-0700,-122.31592659,47.65595372,16.23
2015-04-25T14:40:53.880-0700,-122.31592659,47.65595372,16.23
2015-04-25T14:40:54.880-0700,-122.31592659,47.65595372,16.13
2015-04-25T14:40:55.933-0700,-122.31592659,47.65595372,16.13
2015-04-25T14:40:56.925-0700,-122.31592659,47.65595372,16.13
2015-04-25T14:40:57.926-0700,-122.31592659,47.65595372,16.23
2015-04-25T14:40:58.989-0700,-122.31592659,47.65595372,16.13
2015-04-25T14:40:59.992-0700,-122.31592659,47.65595372,16.13
2015-04-25T14:41:01.019-0700,-122.31592659,47.65595372,16.13
2015-04-25T14:41:02.057-0700,-122.31592659,47.65595372,15.93
2015-04-25T14:41:03.095-0700,-122.31592659,47.65595372,16.03
2015-04-25T14:41:04.110-0700,-122.31592659,47.65595372,16.23
2015-04-25T14:41:05.145-0700,-122.31592659,47.65595372,16.03
2015-04-25T14:41:06.287-0700,-122.31592659,47.65595372,16.23
2015-04-25T14:41:07.187-0700,-122.31592659,47.65595372,16.23
2015-04-25T14:41:08.236-0700,-122.31592659,47.65595372,16.42
2015-04-25T14:41:09.227-0700,-122.31592659,47.65595372,16.13
2015-04-25T14:41:10.276-0700,-122.31592659,47.65595372,16.13
2015-04-25T14:41:11.332-0700,-122.31592659,47.65595372,15.93
2015-04-25T14:41:12.342-0700,-122.31558943,47.65632161,16.23
2015-04-25T14:41:13.364-0700,-122.31558943,47.65632161,16.23
2015-04-25T14:41:14.410-0700,-122.31558262,47.65633069,16.03
2015-04-25T14:41:15.412-0700,-122.31557772,47.65634626,16.23
2015-04-25T14:41:16.439-0700,-122.3155666,47.65634715,16.13
2015-04-25T14:41:17.491-0700,-122.31555584,47.6563537,16.23
2015-04-25T14:41:18.501-0700,-122.31557822,47.65636908,16.23
2015-04-25T14:41:19.602-0700,-122.31557664,47.65637138,16.23
2015-04-25T14:41:20.571-0700,-122.31557967,47.65637662,16.23
2015-04-25T14:41:21.928-0700,-122.31557967,47.65637662,16.23
2015-04-25T14:41:22.432-0700,-122.31557967,47.65637662,16.13
2015-04-25T14:41:23.652-0700,-122.31557967,47.65637662,16.23
