sensor:model,sensor:package,sensor:capability,sensor:units
TGS2442,InsertSensorPackageName,CO Gas,response indicator
Timestamp,geo:lat,geo:long,Value
2015-04-22T10:37:28.114-0700,-122.31435791,47.65592504,11.73
2015-04-22T10:37:29.146-0700,-122.31435796,47.65592503,11.83
2015-04-22T10:37:30.185-0700,-122.31435801,47.6559271,11.53
2015-04-22T10:37:31.193-0700,-122.31435708,47.65593812,11.73
2015-04-22T10:37:32.251-0700,-122.31435708,47.65594871,11.53
2015-04-22T10:37:33.266-0700,-122.3143516,47.65596111,11.44
2015-04-22T10:37:34.287-0700,-122.31433982,47.65596847,11.44
2015-04-22T10:37:35.334-0700,-122.31433107,47.65597558,11.53
2015-04-22T10:37:36.334-0700,-122.31431347,47.65598196,11.53
2015-04-22T10:37:37.393-0700,-122.31431585,47.6559825,11.83
2015-04-22T10:37:38.436-0700,-122.31431352,47.65599305,11.63
2015-04-22T10:37:39.429-0700,-122.31431243,47.65601222,11.63
2015-04-22T10:37:40.516-0700,-122.31430923,47.65602972,11.53
2015-04-22T10:37:41.193-0700,-122.31431256,47.65604774,11.53
2015-04-22T10:37:42.267-0700,-122.31431032,47.65605387,11.63
2015-04-22T10:37:43.379-0700,-122.31431768,47.65606304,11.83
2015-04-22T10:37:44.332-0700,-122.3143161,47.65608969,11.73
2015-04-22T10:37:45.353-0700,-122.31430911,47.65610554,11.34
2015-04-22T10:37:46.377-0700,-122.31433128,47.65607671,11.44
2015-04-22T10:37:47.395-0700,-122.31433166,47.65608225,11.44
2015-04-22T10:37:48.442-0700,-122.31433658,47.6560961,11.73
2015-04-22T10:37:49.481-0700,-122.31432558,47.65611176,11.24
2015-04-22T10:37:50.482-0700,-122.31432849,47.6561218,11.63
2015-04-22T10:37:51.521-0700,-122.31432636,47.65612679,11.73
2015-04-22T10:37:52.528-0700,-122.31432885,47.65614401,11.63
2015-04-22T10:37:53.571-0700,-122.31433018,47.65615244,11.73
2015-04-22T10:37:54.593-0700,-122.3143319,47.65615695,11.73
2015-04-22T10:37:55.685-0700,-122.31433454,47.65615817,11.44
2015-04-22T10:37:56.700-0700,-122.31433559,47.65615801,11.73
2015-04-22T10:37:57.714-0700,-122.31433409,47.65616641,11.63
2015-04-22T10:37:58.757-0700,-122.314331,47.65617351,11.44
2015-04-22T10:37:59.768-0700,-122.31432856,47.65617786,11.63
2015-04-22T10:38:00.781-0700,-122.31432675,47.65618334,11.34
2015-04-22T10:38:01.805-0700,-122.31432351,47.65618814,11.44
2015-04-22T10:38:02.854-0700,-122.31432289,47.65619294,11.63
2015-04-22T10:38:03.887-0700,-122.31432235,47.65619558,11.53
2015-04-22T10:38:04.898-0700,-122.31432224,47.65619744,11.63
2015-04-22T10:38:05.940-0700,-122.31432222,47.65619814,11.63
2015-04-22T10:38:06.989-0700,-122.31432224,47.65619844,11.44
2015-04-22T10:38:08.011-0700,-122.31432225,47.65619859,11.53
2015-04-22T10:38:09.042-0700,-122.31432224,47.65619872,11.73
2015-04-22T10:38:10.059-0700,-122.31432223,47.65619894,11.53
2015-04-22T10:38:11.083-0700,-122.31432223,47.65619904,11.63
2015-04-22T10:38:12.144-0700,-122.31432221,47.65619926,11.53
2015-04-22T10:38:13.176-0700,-122.3143222,47.65619945,11.63
2015-04-22T10:38:14.166-0700,-122.31432219,47.65619963,11.63
2015-04-22T10:38:15.199-0700,-122.31432218,47.65619979,11.44
2015-04-22T10:38:16.215-0700,-122.31432218,47.65619999,11.63
2015-04-22T10:38:17.255-0700,-122.31432216,47.65620015,11.44
2015-04-22T10:38:18.549-0700,-122.31432213,47.65620037,11.53
2015-04-22T10:38:19.320-0700,-122.31432209,47.65620063,11.63
2015-04-22T10:38:20.358-0700,-122.31432208,47.65620084,11.83
2015-04-22T10:38:21.388-0700,-122.31432206,47.656201,11.83
2015-04-22T10:38:22.403-0700,-122.31432204,47.65620114,11.53
2015-04-22T10:38:23.461-0700,-122.31432202,47.6562013,11.73
2015-04-22T10:38:24.476-0700,-122.31432199,47.65620144,11.83
2015-04-22T10:38:25.632-0700,-122.31432199,47.65620159,11.93
2015-04-22T10:38:26.551-0700,-122.31432203,47.65620177,11.83
2015-04-22T10:38:27.562-0700,-122.31432205,47.65620188,11.73
2015-04-22T10:38:28.593-0700,-122.31432205,47.65620188,11.63
2015-04-22T10:38:29.613-0700,-122.314322,47.65620308,11.83
2015-04-22T10:38:30.676-0700,-122.31432197,47.65620358,11.83
2015-04-22T10:38:31.677-0700,-122.31432193,47.65620409,11.83
2015-04-22T10:38:32.718-0700,-122.31432187,47.65620456,11.93
2015-04-22T10:38:33.754-0700,-122.31432183,47.65620482,11.93
2015-04-22T10:38:34.773-0700,-122.31432178,47.65620511,11.83
2015-04-22T10:38:35.818-0700,-122.3143217,47.65620535,11.93
2015-04-22T10:38:36.834-0700,-122.31432164,47.6562056,11.83
2015-04-22T10:38:37.875-0700,-122.31432158,47.65620583,11.73
2015-04-22T10:38:38.918-0700,-122.31432157,47.65620604,11.83
2015-04-22T10:38:39.926-0700,-122.3143215,47.65620617,11.83
2015-04-22T10:38:41.011-0700,-122.31432318,47.65620644,11.93
2015-04-22T10:38:41.993-0700,-122.3143189,47.6562086,11.63
2015-04-22T10:38:43.030-0700,-122.31431727,47.6562119,11.93
2015-04-22T10:38:44.039-0700,-122.31431668,47.65621514,11.73
2015-04-22T10:38:45.080-0700,-122.31431864,47.65621787,11.63
2015-04-22T10:38:46.116-0700,-122.31432005,47.65621988,11.83
2015-04-22T10:38:47.139-0700,-122.31432019,47.6562186,11.83
2015-04-22T10:38:48.185-0700,-122.31431739,47.6562198,11.83
