sensor:model,sensor:package,sensor:capability,sensor:units
TGS2442,InsertSensorPackageName,CO Gas,response indicator
Timestamp,geo:lat,geo:long,Value
2015-04-22T14:41:32.366-0700,-122.31561255,47.65525293,15.84
2015-04-22T14:41:33.396-0700,-122.31561392,47.65525208,15.64
2015-04-22T14:41:34.459-0700,-122.31561368,47.65525849,15.74
2015-04-22T14:41:35.470-0700,-122.3156094,47.65526609,15.74
2015-04-22T14:41:36.545-0700,-122.31559829,47.65527809,15.64
2015-04-22T14:41:37.525-0700,-122.31562015,47.65528998,15.74
2015-04-22T14:41:38.530-0700,-122.3156764,47.65532793,15.93
2015-04-22T14:41:39.566-0700,-122.31576828,47.65537376,15.84
2015-04-22T14:41:40.633-0700,-122.31586661,47.65539672,15.64
2015-04-22T14:41:41.652-0700,-122.31596377,47.65545795,15.93
2015-04-22T14:41:42.703-0700,-122.31600204,47.65551575,15.93
2015-04-22T14:41:43.698-0700,-122.31598958,47.65552851,15.74
2015-04-22T14:41:44.743-0700,-122.31599964,47.6555495,15.74
2015-04-22T14:41:45.795-0700,-122.31601006,47.65557544,15.74
2015-04-22T14:41:46.775-0700,-122.31594218,47.6555978,15.84
2015-04-22T14:41:47.826-0700,-122.3159056,47.6555572,15.64
2015-04-22T14:41:48.872-0700,-122.31586953,47.65558655,15.84
2015-04-22T14:41:49.888-0700,-122.31586282,47.65557844,15.84
2015-04-22T14:41:50.949-0700,-122.3158573,47.65558869,15.74
2015-04-22T14:41:51.947-0700,-122.31587373,47.65560995,15.74
2015-04-22T14:41:52.968-0700,-122.3158538,47.65563145,15.74
2015-04-22T14:41:54.017-0700,-122.31585107,47.65563923,15.54
2015-04-22T14:41:55.079-0700,-122.31585303,47.65565531,15.64
2015-04-22T14:41:56.076-0700,-122.31585342,47.65566432,15.84
2015-04-22T14:41:57.080-0700,-122.31583768,47.65568853,15.93
2015-04-22T14:41:58.121-0700,-122.31584995,47.65570247,16.03
2015-04-22T14:41:59.172-0700,-122.31584377,47.65569982,15.84
2015-04-22T14:42:00.196-0700,-122.31584377,47.65569982,15.64
2015-04-22T14:42:01.204-0700,-122.31587004,47.65574847,15.84
2015-04-22T14:42:02.243-0700,-122.31584784,47.65574047,15.84
2015-04-22T14:42:03.265-0700,-122.31584145,47.65574625,15.74
2015-04-22T14:42:04.571-0700,-122.31583757,47.65575396,15.64
2015-04-22T14:42:05.509-0700,-122.3158239,47.6557704,15.84
2015-04-22T14:42:06.529-0700,-122.31581874,47.65578338,15.93
2015-04-22T14:42:07.582-0700,-122.31579981,47.65578785,15.84
2015-04-22T14:42:08.570-0700,-122.31580272,47.65578882,15.64
2015-04-22T14:42:09.642-0700,-122.31581839,47.65577839,15.74
2015-04-22T14:42:10.684-0700,-122.31585375,47.6557713,15.64
2015-04-22T14:42:11.780-0700,-122.3158716,47.655752,15.74
2015-04-22T14:42:12.775-0700,-122.3158989,47.65579664,15.64
2015-04-22T14:42:13.738-0700,-122.31585352,47.65581243,15.44
2015-04-22T14:42:14.853-0700,-122.31584138,47.65581643,15.64
2015-04-22T14:42:15.855-0700,-122.31586624,47.65585134,15.54
2015-04-22T14:42:16.889-0700,-122.31586411,47.6558752,15.35
2015-04-22T14:42:17.929-0700,-122.31584899,47.65590695,15.64
2015-04-22T14:42:18.920-0700,-122.31584314,47.6559156,15.64
2015-04-22T14:42:19.923-0700,-122.31580245,47.6559568,15.64
2015-04-22T14:42:20.990-0700,-122.31564127,47.65593698,15.44
2015-04-22T14:42:22.023-0700,-122.31561648,47.65593892,15.54
2015-04-22T14:42:23.053-0700,-122.31561631,47.65595078,15.44
2015-04-22T14:42:24.079-0700,-122.31559971,47.65597845,15.64
2015-04-22T14:42:25.062-0700,-122.31560286,47.65599501,15.25
2015-04-22T14:42:26.149-0700,-122.31559448,47.65599875,15.35
2015-04-22T14:42:27.145-0700,-122.31558734,47.65600163,15.64
2015-04-22T14:42:28.156-0700,-122.31557194,47.65600316,15.74
2015-04-22T14:42:29.204-0700,-122.31555222,47.65601117,15.44
2015-04-22T14:42:30.248-0700,-122.31557236,47.65604486,15.84
2015-04-22T14:42:31.255-0700,-122.31555956,47.6560462,15.64
2015-04-22T14:42:32.297-0700,-122.31555956,47.6560462,15.44
2015-04-22T14:42:33.326-0700,-122.31556104,47.65604915,15.64
2015-04-22T14:42:34.349-0700,-122.31556088,47.65605123,15.54
2015-04-22T14:42:35.385-0700,-122.31555562,47.65605275,15.35
2015-04-22T14:42:36.408-0700,-122.31556454,47.65604453,15.54
2015-04-22T14:42:37.472-0700,-122.31556454,47.65604453,15.64
2015-04-22T14:42:38.460-0700,-122.31556857,47.6560553,15.54
2015-04-22T14:42:39.513-0700,-122.31555434,47.65605242,15.54
2015-04-22T14:42:40.520-0700,-122.31554305,47.65606139,15.35
2015-04-22T14:42:41.564-0700,-122.31553361,47.65607837,15.44
2015-04-22T14:42:42.633-0700,-122.31552461,47.65609945,15.44
2015-04-22T14:42:43.695-0700,-122.31552109,47.6561132,15.54
2015-04-22T14:42:44.655-0700,-122.31551139,47.65614768,15.44
2015-04-22T14:42:45.663-0700,-122.31550573,47.6561725,15.44
2015-04-22T14:42:46.765-0700,-122.31549458,47.6561921,15.35
2015-04-22T14:42:47.722-0700,-122.31548621,47.65620301,15.25
2015-04-22T14:42:48.774-0700,-122.31548787,47.65620089,15.44
2015-04-22T14:42:49.802-0700,-122.31548208,47.65620626,15.44
2015-04-22T14:42:50.844-0700,-122.31549054,47.65622165,15.64
2015-04-22T14:42:51.876-0700,-122.31550318,47.65624436,15.64
2015-04-22T14:42:52.955-0700,-122.31548814,47.65627478,15.64
