sensor:model,sensor:package,sensor:capability,sensor:units
TGS2442,InsertSensorPackageName,CO Gas,response indicator
Timestamp,geo:lat,geo:long,Value
2015-04-25T10:47:48.772-0700,-122.31565512,47.65644307,14.57
2015-04-25T10:47:49.772-0700,-122.31564815,47.65645773,14.66
2015-04-25T10:47:50.791-0700,-122.31562051,47.65647655,14.76
2015-04-25T10:47:51.824-0700,-122.3156594,47.65647939,14.76
2015-04-25T10:47:52.885-0700,-122.31568086,47.6564849,14.76
2015-04-25T10:47:53.895-0700,-122.31567088,47.65650796,14.66
2015-04-25T10:47:54.932-0700,-122.31567736,47.65651275,14.57
2015-04-25T10:47:55.970-0700,-122.3156685,47.65652354,14.76
2015-04-25T10:47:56.976-0700,-122.31568485,47.65653476,14.57
2015-04-25T10:47:58.098-0700,-122.31567041,47.65654224,14.76
2015-04-25T10:47:59.075-0700,-122.3156703,47.65654967,14.76
2015-04-25T10:48:00.167-0700,-122.31565699,47.65655544,14.57
2015-04-25T10:48:01.150-0700,-122.31565671,47.65657527,14.57
2015-04-25T10:48:02.145-0700,-122.31565796,47.65658316,14.47
2015-04-25T10:48:03.177-0700,-122.3156737,47.65660592,14.66
2015-04-25T10:48:04.215-0700,-122.31568784,47.65662188,14.66
2015-04-25T10:48:05.288-0700,-122.31567357,47.6566462,14.57
2015-04-25T10:48:06.262-0700,-122.31570407,47.6566499,14.66
2015-04-25T10:48:07.276-0700,-122.31571388,47.65665806,14.76
2015-04-25T10:48:08.336-0700,-122.3157182,47.65666744,14.57
2015-04-25T10:48:09.348-0700,-122.31559649,47.65672262,14.57
2015-04-25T10:48:10.390-0700,-122.31556526,47.65674063,14.66
2015-04-25T10:48:11.433-0700,-122.31554781,47.65678335,14.66
2015-04-25T10:48:12.485-0700,-122.3155407,47.65680184,14.57
2015-04-25T10:48:13.519-0700,-122.3155377,47.65681689,14.57
2015-04-25T10:48:14.506-0700,-122.31554379,47.65682813,14.57
2015-04-25T10:48:15.588-0700,-122.31552658,47.65686953,14.66
2015-04-25T10:48:16.581-0700,-122.31552658,47.65686953,14.57
2015-04-25T10:48:17.620-0700,-122.31552168,47.65687072,14.47
2015-04-25T10:48:18.608-0700,-122.31552724,47.65687544,14.66
2015-04-25T10:48:19.650-0700,-122.31552736,47.6568677,14.37
2015-04-25T10:48:20.689-0700,-122.31552736,47.6568677,14.66
2015-04-25T10:48:21.761-0700,-122.31555894,47.65688978,14.57
2015-04-25T10:48:22.757-0700,-122.31556386,47.65690136,14.66
2015-04-25T10:48:23.801-0700,-122.3155905,47.65691538,14.57
2015-04-25T10:48:24.827-0700,-122.31557722,47.65693203,14.47
2015-04-25T10:48:25.850-0700,-122.31557234,47.65694867,14.66
2015-04-25T10:48:26.888-0700,-122.31556518,47.65696317,14.66
2015-04-25T10:48:27.902-0700,-122.31556272,47.65697023,14.47
2015-04-25T10:48:28.940-0700,-122.31557227,47.65698256,14.57
2015-04-25T10:48:30.004-0700,-122.31557392,47.65698848,14.57
2015-04-25T10:48:30.988-0700,-122.31558189,47.65700603,14.57
2015-04-25T10:48:32.029-0700,-122.3155745,47.6570266,14.47
2015-04-25T10:48:33.100-0700,-122.31559729,47.65704188,14.66
2015-04-25T10:48:34.124-0700,-122.31560628,47.65705307,14.66
2015-04-25T10:48:35.151-0700,-122.31559844,47.65706276,14.66
2015-04-25T10:48:36.159-0700,-122.3155638,47.65708451,14.57
2015-04-25T10:48:37.202-0700,-122.31552641,47.65710576,14.66
2015-04-25T10:48:38.239-0700,-122.31552446,47.65712215,14.66
2015-04-25T10:48:39.239-0700,-122.315526,47.65713276,14.66
2015-04-25T10:48:40.273-0700,-122.31553242,47.65714358,14.66
2015-04-25T10:48:41.314-0700,-122.31553001,47.65716433,14.47
2015-04-25T10:48:42.339-0700,-122.31553439,47.6571812,14.57
2015-04-25T10:48:43.365-0700,-122.31553825,47.6572034,14.66
2015-04-25T10:48:44.426-0700,-122.31554084,47.65722098,14.66
2015-04-25T10:48:45.434-0700,-122.31554914,47.65723269,14.57
2015-04-25T10:48:46.454-0700,-122.31557493,47.6572541,14.57
2015-04-25T10:48:47.487-0700,-122.3155972,47.65727372,14.37
2015-04-25T10:48:48.520-0700,-122.31559962,47.65729053,14.37
2015-04-25T10:48:49.535-0700,-122.31559406,47.65730859,14.37
2015-04-25T10:48:50.557-0700,-122.31559406,47.65730859,14.47
2015-04-25T10:48:51.666-0700,-122.31553929,47.65733016,14.57
2015-04-25T10:48:52.663-0700,-122.3155141,47.65734722,14.37
2015-04-25T10:48:53.673-0700,-122.3154967,47.65736044,14.37
2015-04-25T10:48:54.753-0700,-122.31546888,47.65736677,14.57
2015-04-25T10:48:55.738-0700,-122.31545862,47.6573695,14.57
2015-04-25T10:48:56.743-0700,-122.31544195,47.65737288,14.57
2015-04-25T10:48:57.812-0700,-122.31542509,47.65738053,14.57
2015-04-25T10:48:58.789-0700,-122.31542293,47.6573818,14.37
2015-04-25T10:48:59.858-0700,-122.31542507,47.65739745,14.47
2015-04-25T10:49:00.911-0700,-122.31544267,47.65741056,14.47
2015-04-25T10:49:01.922-0700,-122.31547675,47.65742727,14.37
2015-04-25T10:49:02.937-0700,-122.31554376,47.65745391,14.47
2015-04-25T10:49:03.983-0700,-122.31558567,47.65746374,14.47
2015-04-25T10:49:04.989-0700,-122.31557531,47.65748406,14.37
2015-04-25T10:49:06.054-0700,-122.31559451,47.6574607,14.37
2015-04-25T10:49:07.031-0700,-122.31557122,47.65748637,14.37
2015-04-25T10:49:08.082-0700,-122.31557139,47.65749288,14.57
2015-04-25T10:49:09.133-0700,-122.31557768,47.65750506,14.57
2015-04-25T10:49:10.172-0700,-122.31558845,47.65752023,14.57
2015-04-25T10:49:11.185-0700,-122.31560144,47.65753748,14.57
2015-04-25T10:49:12.224-0700,-122.31559766,47.65756065,14.57
2015-04-25T10:49:13.231-0700,-122.31559669,47.65756735,14.37
2015-04-25T10:49:14.303-0700,-122.31559471,47.65756792,14.37
2015-04-25T10:49:15.329-0700,-122.31559562,47.65756657,14.47
2015-04-25T10:49:16.343-0700,-122.31559869,47.65756794,14.57
2015-04-25T10:49:17.389-0700,-122.31561232,47.65758246,14.57
2015-04-25T10:49:18.378-0700,-122.31562045,47.65760224,14.37
2015-04-25T10:49:19.427-0700,-122.31562377,47.6576179,14.47
2015-04-25T10:49:20.494-0700,-122.31563206,47.65763829,14.47
2015-04-25T10:49:21.479-0700,-122.31558973,47.65768753,14.57
2015-04-25T10:49:22.492-0700,-122.31560904,47.65770645,14.47
2015-04-25T10:49:23.543-0700,-122.31560904,47.65770645,14.37
2015-04-25T10:49:24.567-0700,-122.31561216,47.65774853,14.47
2015-04-25T10:49:25.592-0700,-122.31561377,47.65776559,14.47
2015-04-25T10:49:26.631-0700,-122.31560706,47.65778537,14.27
2015-04-25T10:49:27.662-0700,-122.31559232,47.65780714,14.47
2015-04-25T10:49:28.686-0700,-122.31558097,47.65782694,14.37
2015-04-25T10:49:29.715-0700,-122.31557881,47.65783153,14.47
2015-04-25T10:49:30.741-0700,-122.31557624,47.65784131,14.57
2015-04-25T10:49:31.834-0700,-122.31557636,47.65785012,14.66
2015-04-25T10:49:32.810-0700,-122.31557278,47.65787223,14.57
2015-04-25T10:49:33.844-0700,-122.3155716,47.65789509,14.47
2015-04-25T10:49:34.946-0700,-122.31557166,47.65791452,14.57
2015-04-25T10:49:35.901-0700,-122.31557348,47.65793115,14.57
2015-04-25T10:49:36.925-0700,-122.31558366,47.65794576,14.47
2015-04-25T10:49:37.989-0700,-122.31558583,47.65796163,14.57
2015-04-25T10:49:38.996-0700,-122.31559315,47.65797275,14.47
2015-04-25T10:49:40.016-0700,-122.31559073,47.65798677,14.47
2015-04-25T10:49:41.066-0700,-122.31559287,47.65800102,14.57
2015-04-25T10:49:42.077-0700,-122.31559458,47.65802031,14.47
2015-04-25T10:49:43.146-0700,-122.31559074,47.65804386,14.47
2015-04-25T10:49:44.176-0700,-122.315573,47.65806693,14.66
2015-04-25T10:49:45.198-0700,-122.3155736,47.658077,14.57
2015-04-25T10:49:46.256-0700,-122.31558631,47.65808897,14.37
2015-04-25T10:49:47.245-0700,-122.31559676,47.65810179,14.57
2015-04-25T10:49:48.272-0700,-122.31561017,47.65810479,14.37
2015-04-25T10:49:49.296-0700,-122.3156145,47.65812172,14.37
2015-04-25T10:49:50.346-0700,-122.31561451,47.65814242,14.47
2015-04-25T10:49:51.374-0700,-122.3156184,47.65815504,14.37
2015-04-25T10:49:52.538-0700,-122.31562393,47.65817135,14.37
2015-04-25T10:49:53.420-0700,-122.31560928,47.65819116,14.66
2015-04-25T10:49:54.446-0700,-122.31558015,47.658213,14.76
2015-04-25T10:49:55.497-0700,-122.31555154,47.65824244,14.47
2015-04-25T10:49:56.520-0700,-122.31550229,47.65828996,14.57
2015-04-25T10:49:57.555-0700,-122.31550516,47.65831331,14.57
2015-04-25T10:49:58.581-0700,-122.31549793,47.65832723,14.66
2015-04-25T10:49:59.613-0700,-122.31550464,47.65834186,14.66
2015-04-25T10:50:00.650-0700,-122.31549349,47.65836137,14.47
2015-04-25T10:50:01.751-0700,-122.31549349,47.65836137,14.57
2015-04-25T10:50:02.674-0700,-122.31549581,47.65840815,14.76
2015-04-25T10:50:03.724-0700,-122.31550879,47.6584391,14.66
2015-04-25T10:50:04.747-0700,-122.3155161,47.65846703,14.66
2015-04-25T10:50:05.781-0700,-122.31551796,47.65848353,14.66
2015-04-25T10:50:06.817-0700,-122.31552166,47.65850276,14.76
2015-04-25T10:50:07.837-0700,-122.3155272,47.65851965,14.66
2015-04-25T10:50:08.859-0700,-122.31552873,47.65853398,14.66
2015-04-25T10:50:09.892-0700,-122.31552032,47.65854382,14.76
2015-04-25T10:50:10.922-0700,-122.31550558,47.65856107,14.66
2015-04-25T10:50:12.003-0700,-122.31549698,47.65857442,14.66
2015-04-25T10:50:12.998-0700,-122.31549132,47.65858734,14.76
2015-04-25T10:50:14.046-0700,-122.31548975,47.65860431,14.86
2015-04-25T10:50:15.047-0700,-122.31548998,47.65861773,14.66
2015-04-25T10:50:16.066-0700,-122.31548688,47.65863121,14.66
2015-04-25T10:50:17.117-0700,-122.31548144,47.65864439,14.76
2015-04-25T10:50:18.156-0700,-122.31548107,47.65865677,14.57
2015-04-25T10:50:19.224-0700,-122.31548294,47.65867061,14.47
2015-04-25T10:50:20.217-0700,-122.31549165,47.65867871,14.57
2015-04-25T10:50:21.242-0700,-122.31549811,47.65869034,14.47
2015-04-25T10:50:22.270-0700,-122.31551127,47.65870545,14.57
2015-04-25T10:50:23.326-0700,-122.31550648,47.65871238,14.66
2015-04-25T10:50:24.352-0700,-122.31550022,47.65872404,14.57
2015-04-25T10:50:25.347-0700,-122.31549042,47.65873568,14.66
2015-04-25T10:50:26.445-0700,-122.31549388,47.65875208,14.57
2015-04-25T10:50:27.446-0700,-122.3154928,47.65876004,14.66
2015-04-25T10:50:28.434-0700,-122.31547638,47.65879096,14.76
2015-04-25T10:50:29.521-0700,-122.31546607,47.65880283,14.66
2015-04-25T10:50:30.528-0700,-122.3154822,47.65878134,14.76
2015-04-25T10:50:31.543-0700,-122.3154784,47.65878425,14.57
2015-04-25T10:50:32.582-0700,-122.31545581,47.65881509,14.57
2015-04-25T10:50:33.607-0700,-122.31544637,47.65882719,14.76
2015-04-25T10:50:34.696-0700,-122.31543534,47.65884246,14.66
2015-04-25T10:50:35.665-0700,-122.31540078,47.65886136,14.47
2015-04-25T10:50:36.706-0700,-122.31538554,47.65888112,14.47
2015-04-25T10:50:37.793-0700,-122.31539907,47.65889956,14.66
2015-04-25T10:50:38.760-0700,-122.3153943,47.65891797,14.47
2015-04-25T10:50:39.814-0700,-122.31539768,47.65893215,14.47
2015-04-25T10:50:40.855-0700,-122.31541311,47.65894351,14.66
2015-04-25T10:50:41.853-0700,-122.31542269,47.65895773,14.57
2015-04-25T10:50:42.880-0700,-122.31543855,47.65896616,14.66
2015-04-25T10:50:43.931-0700,-122.31543913,47.65897995,14.66
2015-04-25T10:50:44.941-0700,-122.31543807,47.6589957,14.57
