sensor:model,sensor:package,sensor:capability,sensor:units
TGS2442,InsertSensorPackageName,CO Gas,response indicator
Timestamp,geo:lat,geo:long,Value
2015-04-27T14:40:54.779-0700,-122.31577154,47.65544502,16.23
2015-04-27T14:40:55.858-0700,-122.3157715,47.6554449,16.23
2015-04-27T14:40:56.853-0700,-122.31577123,47.6554447,16.23
2015-04-27T14:40:57.863-0700,-122.31577097,47.65544444,16.23
2015-04-27T14:40:58.911-0700,-122.31569199,47.65531237,16.23
2015-04-27T14:40:59.953-0700,-122.31566631,47.65528407,16.32
2015-04-27T14:41:00.995-0700,-122.31564396,47.65529531,16.23
2015-04-27T14:41:01.985-0700,-122.31563716,47.65532722,16.42
2015-04-27T14:41:03.025-0700,-122.31563572,47.65532399,16.42
2015-04-27T14:41:04.074-0700,-122.31563331,47.65533986,16.42
2015-04-27T14:41:05.087-0700,-122.31562946,47.6553417,16.42
2015-04-27T14:41:06.117-0700,-122.31563327,47.65534692,16.32
2015-04-27T14:41:07.153-0700,-122.3156347,47.65535379,16.42
2015-04-27T14:41:08.165-0700,-122.31563164,47.6553573,16.23
2015-04-27T14:41:09.247-0700,-122.31562846,47.65536024,16.23
2015-04-27T14:41:10.244-0700,-122.31563011,47.65536234,16.13
2015-04-27T14:41:11.290-0700,-122.31562668,47.65538091,16.32
2015-04-27T14:41:12.351-0700,-122.31563035,47.6554016,16.42
2015-04-27T14:41:13.394-0700,-122.31563452,47.65542657,16.42
2015-04-27T14:41:14.355-0700,-122.31563736,47.65544965,16.42
2015-04-27T14:41:15.431-0700,-122.31565628,47.65546574,16.23
2015-04-27T14:41:16.442-0700,-122.31564273,47.6554783,16.42
2015-04-27T14:41:17.450-0700,-122.31564538,47.65549556,16.32
2015-04-27T14:41:18.506-0700,-122.31567601,47.65552934,16.62
2015-04-27T14:41:19.505-0700,-122.31569419,47.65554033,16.32
2015-04-27T14:41:20.550-0700,-122.31571609,47.65556619,16.42
2015-04-27T14:41:21.590-0700,-122.31570231,47.65556606,16.42
2015-04-27T14:41:22.617-0700,-122.3157166,47.65558338,16.42
2015-04-27T14:41:23.669-0700,-122.31573911,47.65560212,16.42
2015-04-27T14:41:24.696-0700,-122.31576232,47.65562563,16.32
2015-04-27T14:41:25.704-0700,-122.3157856,47.65564367,16.32
2015-04-27T14:41:26.755-0700,-122.31582028,47.65568362,16.32
2015-04-27T14:41:27.754-0700,-122.31583807,47.65570799,16.42
2015-04-27T14:41:28.787-0700,-122.3158526,47.65572597,16.32
2015-04-27T14:41:29.850-0700,-122.3158671,47.65574469,16.42
2015-04-27T14:41:30.836-0700,-122.31588609,47.65578762,16.42
2015-04-27T14:41:31.912-0700,-122.31589687,47.65581095,16.42
2015-04-27T14:41:32.925-0700,-122.31591202,47.6558406,16.42
2015-04-27T14:41:33.940-0700,-122.31590454,47.65583428,16.32
2015-04-27T14:41:34.996-0700,-122.31585934,47.65583564,16.42
2015-04-27T14:41:36.013-0700,-122.31587328,47.65585601,16.32
2015-04-27T14:41:37.036-0700,-122.31586309,47.6558503,16.32
2015-04-27T14:41:38.064-0700,-122.31587412,47.6558599,16.42
2015-04-27T14:41:39.079-0700,-122.31584192,47.65586298,16.42
2015-04-27T14:41:40.145-0700,-122.31584481,47.65587295,16.42
2015-04-27T14:41:41.159-0700,-122.31586828,47.65589128,16.42
2015-04-27T14:41:42.166-0700,-122.31587224,47.65591017,16.23
2015-04-27T14:41:43.209-0700,-122.31588258,47.6559261,16.32
2015-04-27T14:41:44.254-0700,-122.31588722,47.6559229,16.42
2015-04-27T14:41:45.280-0700,-122.31588445,47.65592564,16.32
2015-04-27T14:41:46.365-0700,-122.31587659,47.65594759,16.42
2015-04-27T14:41:47.329-0700,-122.31587506,47.65595469,16.52
2015-04-27T14:41:48.387-0700,-122.31582871,47.65597317,16.42
2015-04-27T14:41:49.385-0700,-122.31576731,47.65598117,16.32
2015-04-27T14:41:50.417-0700,-122.31565321,47.65598592,16.32
2015-04-27T14:41:51.458-0700,-122.31560878,47.65598656,16.42
2015-04-27T14:41:52.633-0700,-122.31558306,47.65599839,16.42
2015-04-27T14:41:53.528-0700,-122.31557209,47.65601437,16.52
2015-04-27T14:41:54.546-0700,-122.31557291,47.65602602,16.42
2015-04-27T14:41:55.571-0700,-122.31556899,47.65603114,16.42
2015-04-27T14:41:56.612-0700,-122.31557224,47.65604205,16.42
2015-04-27T14:41:57.646-0700,-122.31557632,47.65604721,16.52
2015-04-27T14:41:58.691-0700,-122.31557285,47.65604638,16.42
2015-04-27T14:41:59.689-0700,-122.31557122,47.65604468,16.42
2015-04-27T14:42:00.754-0700,-122.31557099,47.65604696,16.42
2015-04-27T14:42:01.752-0700,-122.31557087,47.65604848,16.32
2015-04-27T14:42:02.791-0700,-122.31557293,47.65604898,16.32
2015-04-27T14:42:03.844-0700,-122.31557633,47.6560464,16.32
2015-04-27T14:42:04.851-0700,-122.31557605,47.65604635,16.32
2015-04-27T14:42:05.913-0700,-122.31557779,47.65605223,16.32
2015-04-27T14:42:06.960-0700,-122.31557646,47.65605942,16.42
2015-04-27T14:42:07.955-0700,-122.31558285,47.65609856,16.32
2015-04-27T14:42:08.998-0700,-122.31557868,47.65609895,16.42
2015-04-27T14:42:10.008-0700,-122.31558379,47.65611344,16.42
2015-04-27T14:42:11.067-0700,-122.31557307,47.65612801,16.42
2015-04-27T14:42:12.065-0700,-122.31556365,47.65613605,16.32
2015-04-27T14:42:13.090-0700,-122.31556813,47.65619346,16.32
2015-04-27T14:42:14.114-0700,-122.3155604,47.6562057,16.42
2015-04-27T14:42:15.166-0700,-122.3155478,47.65622691,16.42
